NAME;Verkehr;lng;lat
München Ost;FV;11.604971;48.12744
Münster(Westf)Hbf;FV;7.635715;51.956566
Mosbach-Neckarelz;RV;9.113093;49.348484
Neckargemünd;RV;8.788425;49.393678
Wuppertal Hbf;FV;7.149543;51.254363
Neuenmarkt-Wirsberg;RV;11.581061;50.093676
Wunstorf;RV;9.450976;52.422225
Neukirchen(b Sulzb);RV;11.61954;49.524326
Neumünster;FV;9.979816;54.075752
Neunkirchen(Saar)Hbf;RV;7.176655;49.353291
Muldenberg Floßplatz;nur DPN;12.399034;50.41569
Neuss Hbf;FV;6.684527;51.204351
Neustadt(Weinstr)Hbf;FV;8.140757;49.349553
Neuwied;FV;7.473132;50.431466
Nidda;nur DPN;8.998881;50.411449
Niederlahnstein;RV;7.599503;50.31639
Nienburg(Weser);FV;9.217753;52.645566
Nördlingen;RV;10.497863;48.850841
Nordstemmen;nur DPN;9.788881;52.166394
Northeim(Han);FV;9.986618;51.703139
Nürnberg Hbf;FV;11.082989;49.445616
Rödermark-Ober Roden;RV;8.828961;49.973622
Oberhausen Hbf;FV;6.851588;51.474878
Oberkotzau;RV;11.932204;50.266389
Wiesbaden-Biebrich;nur DPN;8.236423;50.048829
Zwickau Zentrum;nur DPN;12.496893;50.715544
Offenburg;FV;7.946723;48.476475
Oldenburg(Oldb);FV;8.222713;53.144323
Zwickau Stadthalle;nur DPN;12.498056;50.70392
Osnabrück Hbf;FV;8.061781;52.272851
Osterburken;RV;9.422692;49.429657
Paderborn Hbf;FV;8.740505;51.712979
Passau Hbf;FV;13.450776;48.573632
Pforzheim Hbf;FV;8.703099;48.894152
Plattling;FV;12.86394;48.779619
Plochingen;FV;9.41081;48.71308
Quakenbrück;nur DPN;7.947819;52.673943
Rastatt;FV;8.215623;48.860483
Recklinghausen Hbf;FV;7.20349;51.616359
Regensburg Hbf;FV;12.099617;49.011672
Remagen;FV;7.229779;50.577215
Remscheid-Lennep;nur DPN;7.252833;51.190724
Rendsburg;FV;9.671134;54.302262
Renningen;RV;8.93235;48.775121
Reutlingen Hbf;FV;9.209116;48.496079
Rheda-Wiedenbrück;RV;8.28665;51.857023
Rheine;FV;7.434255;52.276299
Rheinhausen;RV;6.706484;51.393507
Rheydt Hbf;FV;6.439564;51.163027
Rohrbach(Saar);RV;7.157395;49.276737
Rosenheim;FV;12.119202;47.850018
Rotenburg(Wümme);nur DPN;9.390098;53.112349
Rottweil;FV;8.639295;48.165304
Saarbrücken Hbf;FV;6.991021;49.241065
Salzgitter-Ringelheim;RV;10.31483;52.038158
Schifferstadt;RV;8.364945;49.39291
Wahlheim;RV;8.09992;49.719105
Schnabelwaid;RV;11.59566;49.810453
Schwäbisch Gmünd;FV;9.787795;48.801011
Schwäbisch Hall-Hessental;RV;9.767373;49.096732
Andernach;FV;7.404839;50.434542
Frankenthal Hbf;RV;8.349702;49.535567
Hausach;FV;8.181665;48.284924
Jübek;RV;9.405438;54.558782
Leese-Stolzenau;nur DPN;9.110127;52.509469
Leutkirch;RV;10.015836;47.826167
Marburg(Lahn);FV;8.775014;50.819272
Mindelheim;RV;10.501626;48.044917
Mühlacker;FV;8.846101;48.953192
Freimersheim(Rheinh);RV;8.086508;49.710777
Weetzen;RV;9.635376;52.298351
Schöneck(Vogtl) Ferienpark;nur DPN;12.347044;50.38957
Wittingen;nur DPN;10.723174;52.727291
Borken(Westf);nur DPN;6.865279;51.848962
Glauburg-Stockheim;RV;9.010123;50.327056
Stolberg(Rheinl)Hbf;RV;6.217478;50.79448
Offenbach(Main)Hbf;RV;8.760743;50.099264
Alsfeld(Oberhess);nur DPN;9.264297;50.750962
Altenkirchen(Westerwald);nur DPN;7.638257;50.684418
Bad Gandersheim;RV;10.020236;51.86737
Balingen(Württ);RV;8.850307;48.278469
Bassum;RV;8.739924;52.847388
Bergheim(Erft);RV;6.646302;50.951706
Villingen-Schwenningen Eisstadion;RV;8.528553;48.052772
Bierbach;RV;7.282011;49.26189
Bochum-Langendreer;RV;7.323645;51.477992
Bodenheim;RV;8.312491;49.929585
Bürstadt;RV;8.459072;49.645125
Dieburg;RV;8.839795;49.90369
Dieringhausen;RV;7.542483;50.98542
Vienenburg;nur DPN;10.562174;51.955034
Dombühl;RV;10.298523;49.25211
Villingen(Schwarzw);FV;8.465261;48.058022
Wabern(Bz Kassel);FV;9.35804;51.103134
Eberbach;RV;8.984152;49.465768
Ehrang;RV;6.685808;49.802029
Einöd(Saar);RV;7.321916;49.266663
Enkenbach;RV;7.899501;49.489933
Eppingen;RV;8.914663;49.136001
Freinsheim;RV;8.205192;49.501493
Gau Algesheim;RV;8.016065;49.961432
Germersheim;RV;8.365282;49.225402
Weinheim(Bergstr)Hbf;FV;8.665351;49.553302
Wemmetsweiler Rathaus;RV;7.085936;49.369521
Wittlich Hbf;FV;6.943557;49.973121
Goldshöfe;RV;10.128254;48.894221
Grötzingen;RV;8.492941;49.005975
Gronau(Westf);RV;7.022436;52.215107
Wetzlar;RV;8.503819;50.565631
Groß-Umstadt Wiebelsbach;nur DPN;8.940854;49.833425
Gunzenhausen;FV;10.755463;49.120444
Haiger;nur DPN;8.220657;50.741352
Hergatz;RV;9.827382;47.64681
Hilden;RV;6.922006;51.16702
Hochdorf(b Horb);RV;8.724052;48.482485
Hochneukirch;RV;6.466316;51.103293
Holzwickede;RV;7.619647;51.504767
Villingen-Schwenningen Hammerstatt;RV;8.546922;48.060175
Hungen;nur DPN;8.89279;50.478055
Karthaus;RV;6.596854;49.71034
Aachen West;RV;6.070715;50.78036
Aachen-Rothe Erde;RV;6.116475;50.770202
Kempen(Niederrhein);nur DPN;6.425549;51.367564
Abensberg;nur DPN;11.84662;48.819456
Achern;RV;8.065324;48.63399
Achim;RV;9.030447;53.01599
Achmer;nur DPN;7.94216;52.390479
Achterwehr;RV;9.964024;54.314913
Adelschlag;RV;11.211443;48.840759
Adelsdorf(Mittelfr);RV;10.687041;49.474944
Adelsheim Nord;RV;9.392754;49.42149
Adelsheim Ost;RV;9.395127;49.403123
Kirchen;RV;7.880509;50.806576
Kaarster See;nur DPN;6.593977;51.226689
Affaltrach;RV;9.379012;49.137832
Kaarst Mitte/Holzbüttgen;nur DPN;6.617246;51.219504
Agatharied;nur DPN;11.824472;47.765606
Agathenburg;RV;9.531244;53.564111
Kirchhain(Bz Kassel);RV;8.921399;50.823779
Aha;RV;8.134349;47.833224
Ahaus;RV;7.016453;52.081681
Kaarst IKEA;nur DPN;6.629881;51.217023
Schnega;RV;10.890386;52.869058
Ahlen(Westf);RV;7.895488;51.761062
Ahlhorn;nur DPN;8.209429;52.899321
Ahlten;RV;9.904613;52.376062
Soltendieck;RV;10.761416;52.874209
Ahrensburg;RV;10.236206;53.669171
Ahrweiler;RV;7.107071;50.546544
Ahrweiler Markt;RV;7.094229;50.544228
Aich(Niederbay);RV;12.398163;48.417315
Aichach;nur DPN;11.122721;48.461117
Freiburg Messe/Universität;nur DPN;7.832668;48.012918
Aichstetten;RV;10.07494;47.887884
Tuttlingen Nord;nur DPN;8.823737;47.992605
Ahnatal Casselbreite;RV;9.434061;51.36286
Ainring;FV;12.964501;47.815033
Münster-Albachten;RV;7.528197;51.914576
Albbruck;RV;8.131774;47.592235
Albersdorf;nur DPN;9.292151;54.14632
Albersweiler(Pfalz);RV;8.024464;49.21847
Albig;RV;8.116579;49.771375
Albshausen;nur DPN;8.434869;50.545716
Albstadt-Ebingen;RV;9.026962;48.21029
Albstadt-Laufen Ort;nur DPN;8.917316;48.222859
